poem_id,master_poem_id
skvr02107170,skvr02108810
skvr02106630,skvr02108950
skvr02109520,skvr02108990
skvr02109540,skvr02108990
skvr02108010,skvr02109040
skvr02107800,skvr02109330
skvr02109590,skvr02109450
skvr02109530,skvr02109470
skvr02101880,skvr02109790
skvr02104070,skvr02109820
skvr02104071,skvr02109821
skvr02104090,skvr02109850
skvr02101910,skvr02110180
skvr02108850,skvr02110180
skvr02108860,skvr02110190
skvr02108910,skvr02110200
skvr02107970,skvr02110220
skvr02100230,skvr02110530
skvr02108750,skvr02110530
skvr02101030,skvr02110560
skvr02104080,skvr02110660
skvr02110940,skvr02110740
skvr03146070,skvr03119340
skvr03146080,skvr03119350
skvr13092110,skvr03144800
skvr13101580,skvr03146110
skvr13101690,skvr03146160
skvr04105850,skvr04142600
skvr05206581,skvr05107160
skvr05105230,skvr05108100
skvr05111580,skvr05110230
skvr05212530,skvr05112340
skvr05216650,skvr05112620
skvr05216660,skvr05112630
skvr05108930,skvr05113170
skvr05210990,skvr05113280
skvr05102840,skvr05202860
skvr05224380,skvr05209770
skvr05222710,skvr05211340
skvr05109030,skvr05212980
skvr05224470,skvr05214230
skvr05226750,skvr05216150
skvr05216960,skvr05216390
skvr05224500,skvr05216830
skvr05104750,skvr05220730
skvr06139420,skvr06138770
skvr06171730,skvr06153560
skvr07246740,skvr06160620
skvr07105690,skvr07100240
skvr07110870,skvr07100400
skvr07103540,skvr07100530
skvr07101940,skvr07100550
skvr07232940,skvr07100550
skvr07118160,skvr07100570
skvr07111780,skvr07100640
skvr07102390,skvr07100730
skvr07103780,skvr07100980
skvr07105760,skvr07101000
skvr07105820,skvr07101010
skvr07105821,skvr07101011
skvr07105830,skvr07101020
skvr07105870,skvr07101050
skvr07102780,skvr07101050
skvr07103390,skvr07101050
skvr07102790,skvr07101070
skvr07106490,skvr07101070
skvr07108500,skvr07101080
skvr07103990,skvr07101091
skvr07105890,skvr07101091
skvr07104020,skvr07101110
skvr07105900,skvr07101121
skvr07106960,skvr07101121
skvr07104030,skvr07101130
skvr07105910,skvr07101140
skvr07105911,skvr07101141
skvr07105912,skvr07101142
skvr07104140,skvr07101190
skvr07104170,skvr07101210
skvr07105920,skvr07101210
skvr07105930,skvr07101240
skvr07128590,skvr07101260
skvr07126850,skvr07101280
skvr07128610,skvr07101280
skvr07103770,skvr07101400
skvr07105550,skvr07101400
skvr07110670,skvr07101420
skvr07116470,skvr07101450
skvr07115030,skvr07101500
skvr07105170,skvr07101530
skvr07119860,skvr07101530
skvr07100190,skvr07101580
skvr07115060,skvr07101670
skvr07115070,skvr07101671
skvr07100250,skvr07101680
skvr07232510,skvr07101690
skvr07105790,skvr07101700
skvr07128620,skvr07101800
skvr07128600,skvr07101840
skvr07225820,skvr07101990
skvr07106910,skvr07102030
skvr07102450,skvr07102120
skvr07138180,skvr07102300
skvr07106610,skvr07102380
skvr07115910,skvr07102410
skvr07102540,skvr07102420
skvr07112420,skvr07102440
skvr07217880,skvr07102770
skvr07103430,skvr07102800
skvr07101120,skvr07102850
skvr07216960,skvr07103010
skvr07104300,skvr07103090
skvr07106240,skvr07103090
skvr07227550,skvr07103150
skvr07103590,skvr07103180
skvr07207370,skvr07103180
skvr07204840,skvr07103230
skvr07204700,skvr07103260
skvr07209060,skvr07103290
skvr07105680,skvr07103370
skvr07100870,skvr07103730
skvr07104930,skvr07103730
skvr07105100,skvr07103730
skvr07104410,skvr07103730
skvr07203360,skvr07103730
skvr07106600,skvr07103800
skvr07106590,skvr07103820
skvr07106620,skvr07103870
skvr07111470,skvr07104040
skvr07101160,skvr07104110
skvr07101180,skvr07104120
skvr07105060,skvr07104380
skvr07103650,skvr07104390
skvr07105080,skvr07104400
skvr07119521,skvr07104430
skvr07206650,skvr07104810
skvr07106500,skvr07104870
skvr07102640,skvr07104880
skvr07122910,skvr07104920
skvr07203390,skvr07104940
skvr07100990,skvr07104970
skvr07102620,skvr07104970
skvr07108420,skvr07105130
skvr07108430,skvr07105160
skvr07108440,skvr07105180
skvr07108450,skvr07105190
skvr07108460,skvr07105200
skvr07108470,skvr07105210
skvr07108480,skvr07105220
skvr07107470,skvr07105230
skvr07107560,skvr07105270
skvr07108540,skvr07105270
skvr07104910,skvr07105290
skvr07107590,skvr07105300
skvr07108550,skvr07105300
skvr07104510,skvr07105350
skvr07102530,skvr07105410
skvr07101360,skvr07105460
skvr07215730,skvr07105530
skvr07110490,skvr07105540
skvr07110500,skvr07105541
skvr07100660,skvr07105580
skvr07110480,skvr07105580
skvr07102700,skvr07105600
